Camera ID,Make,X,Y,Z,Toponym,Google Link,Battery %,SD Memory %,Last Updated
CC044C,UOVision,25.01059634,45.326467,861,Piscul Lat,https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6,100,81,2024-06-26 12:58:20
WILDBOAR02,Wilsus,25.01059634,45.326467,862,Piscul Lat,https://maps.app.goo.gl/3g6QH2rn6Qw7Aema6,80,91,2024-06-26 12:58:05
CC044A,UOVision,25.00330022,45.32415226,813,Albesti,https://maps.app.goo.gl/DueDZiWQGinkELuU9,70,93,2024-06-21 14:25:39
WILDBOAR01,Wilsus,25.00330022,45.32415226,813,Albesti,https://maps.app.goo.gl/DueDZiWQGinkELuU9,100,97,2024-06-21 14:25:33
